rating,title,author,date,helpful_votes,clean_review,pos_counts,constituency_tree,dependency_tree,named_entities
10.0,One Step Above Masterpiece!,MiroslavKyuranov,"May 31, 2023",,one step masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one step masterpiec', 'ROOT', 'masterpiec')]","[('one', 'nummod', 'step'), ('step', 'npadvmod', 'masterpiec'), ('masterpiec', 'ROOT', 'masterpiec')]",{'CARDINAL': 1}
10.0,One of the best sequels to anything ever made,pugpool10,"Jun 2, 2023",,one best sequel anyth ever made,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one best sequel', 'ROOT', 'sequel'), ('anyth', 'nsubj', 'made')]","[('one', 'nummod', 'sequel'), ('best', 'amod', 'sequel'), ('sequel', 'ROOT', 'sequel'), ('anyth', 'nsubj', 'made'), ('ever', 'advmod', 'made'), ('made', 'relcl', 'sequel')]",{'CARDINAL': 1}
10.0,Okay This Is Peak,hectorvernet,"May 31, 2023",,okay peak,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('okay peak', 'ROOT', 'peak')]","[('okay', 'amod', 'peak'), ('peak', 'ROOT', 'peak')]",{}
10.0,A new Empire Strikes Back,rickothan,"Jun 2, 2023",,new empir strike back,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('new empir', 'nsubj', 'strike')]","[('new', 'amod', 'empir'), ('empir', 'nsubj', 'strike'), ('strike', 'ROOT', 'strike'), ('back', 'advmod', 'strike')]",{}
10.0,Masterful IMAX Spider-Man,UniqueParticle,"Jun 2, 2023",,master imax spiderman,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('master', 'nsubj', 'imax'), ('spiderman', 'dobj', 'imax')]","[('master', 'nsubj', 'imax'), ('imax', 'ROOT', 'imax'), ('spiderman', 'dobj', 'imax')]",{}
10.0,the greatest spider-man film ever.,sfarrow8,"Jun 2, 2023",,greatest spiderman film ever,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('greatest spiderman film', 'ROOT', 'film')]","[('greatest', 'amod', 'spiderman'), ('spiderman', 'compound', 'film'), ('film', 'ROOT', 'film'), ('ever', 'advmod', 'film')]",{}
10.0,This needs to be nominated for best picture!,Marian25,"May 31, 2023",,need nomin best pictur,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nomin best pictur', 'dobj', 'need')]","[('need', 'ROOT', 'need'), ('nomin', 'nmod', 'pictur'), ('best', 'amod', 'pictur'), ('pictur', 'dobj', 'need')]",{}
6.0,So Overhyped That I Felt Disappointed,penelopemmorris,"Jun 8, 2023",,overhyp felt disappoint,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('disappoint', 'dobj', 'felt')]","[('overhyp', 'npadvmod', 'felt'), ('felt', 'ROOT', 'felt'), ('disappoint', 'dobj', 'felt')]",{}
10.0,"Wow, just WOW!",srdjankostic91,"May 31, 2023",,wow wow,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('wow', 'ROOT', 'wow'), ('wow', 'intj', 'wow')]",{}
7.0,"It's good, but I still like the first one better. (7.5)",nickryan-44535,"Jun 6, 2023",,good still like first one better,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('good', 'ROOT', 'good'), ('still', 'advmod', 'like'), ('like', 'prep', 'good'), ('first', 'amod', 'one'), ('one', 'pobj', 'like'), ('better', 'amod', 'one')]","{'ORDINAL': 1, 'CARDINAL': 1}"
5.0,Messy messy messy,jyszxpxqfhrg,"Jan 15, 2024",,messi messi messi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('messi messi messi', 'ROOT', 'messi')]","[('messi', 'compound', 'messi'), ('messi', 'compound', 'messi'), ('messi', 'ROOT', 'messi')]",{'PERSON': 1}
10.0,Perfect,Tired_Reviewer,"May 31, 2023",,perfect,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('perfect', 'ROOT', 'perfect')]",{}
10.0,My movie of 2023 so far.,Sleepin_Dragon,"Jun 11, 2023",,movi far,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('movi', 'advmod', 'far'), ('far', 'ROOT', 'far')]",{}
10.0,One Of The Best Movies I Have Ever Seen,emjgiddy,"May 19, 2024",,one best movi ever seen,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('one best movi', 'nsubj', 'seen')]","[('one', 'nummod', 'movi'), ('best', 'amod', 'movi'), ('movi', 'nsubj', 'seen'), ('ever', 'advmod', 'seen'), ('seen', 'ROOT', 'seen')]",{'CARDINAL': 1}
